anchor_1	alternative_1	anchor_2	alternative_2	style_type	language_1	language_2
Je préfère laisser le gars me demander.		I suffer through verbal abuse from my wife.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		You will have more friends than you want.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		It's nice that you get to see pictures of who you are talking to.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		I need to know what to do.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		Love me, love me. Oh dear God love me!	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		It would not be a word. It would be a singing opera.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		I like my life with the exception of her yelling and using swear words.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		I know how it is.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		Does he have a favorite sports team?	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		While you are away, he will do it again and again.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		"I suggest saying ""Look, this is not working out for me anymore""."	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		No sister, I do not think so.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		Then kiss her, brother; that works every time.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		Women mature faster than men and some men never mature.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		After that I never bought her another gift.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		You can attend you class with her if you would like.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		It will happen when you choose to be wealthy and powerful.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		Please don't beg for love, money or respect.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		You will definitely know when you are in love.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		Do not base your relationship on money or material items.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		"What if someone asked this question: ""How can I get my boyfriend to notice me?"""	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		I am unable to sign in at the chat room.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		If you just live with a friend, I call that friend with rights.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		It is hard to tell from this question, but it seems like you are trying to change yourself, and that is a bad idea.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		I don't know what he is thinking, sometimes we just sit and watch.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		Go France and see for yourself.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		She was aware I was previously dating someone that was married.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		You should not let what other people say bother you.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
Je préfère laisser le gars me demander.		I wish you good fortune no matter what course you take.	Sure, it's ok, but I always have let the guy ask me.	formality	fr	en
