anchor_1	alternative_1	anchor_2	alternative_2	style_type	language_1	language_2
I prefer to let the guy ask me.		Je souffre d'abus verbaux de ma femme.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Tu auras plus d'amis que tu ne veux.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		C'est bien que vous puissiez voir des photos de qui vous parlez.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		J'ai besoin de savoir quoi faire.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Aime-moi, aime-moi. Oh mon Dieu, aimez-moi !	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Ce ne serait pas un mot. Ce serait un opéra chantant.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		J'aime ma vie à l'exception de ses hurlements et de jurons.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Je sais comment c'est.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		A-t-il une équipe sportive préférée ?	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Pendant que vous êtes absent, il le fera encore et encore.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Je suggère de dire « Écoute, ça ne marche plus pour moi ».	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Pas de soeur, je ne pense pas.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Alors embrasse-la, frère, ça marche à chaque fois.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Les femmes mûrissent plus vite que les hommes et certains hommes ne mûrissent jamais.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Après ça, je ne lui ai jamais acheté un autre cadeau.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Vous pouvez assister à votre cours avec elle si vous le souhaitez.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Cela arrivera quand vous choisirez d'être riche et puissant.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		S'il vous plaît, ne mendier pas pour l'amour, l'argent ou le respect.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Vous saurez certainement quand vous êtes amoureux.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Ne basez pas votre relation sur de l'argent ou des articles matériels.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Et si quelqu'un posait cette question : « Comment puis-je faire remarquer mon copain ? »	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Je ne peux pas me connecter à la salle de chat.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Si tu vis avec un ami, j'appelle cet ami qui a des droits.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Il est difficile de le dire à partir de cette question, mais il semble que vous essayez de vous changer, et c'est une mauvaise idée.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Je ne sais pas ce qu'il pense, parfois on s'asseyait et on regarde.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Va en France et voyez par vous-même.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Elle savait que je sortais avec quelqu'un qui était marié.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Vous ne devriez pas laisser ce que disent les autres vous déranger.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Je vous souhaite bonne chance, quel que soit le cours que vous prenez.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		La mise en garde est que vous et moi ne sommes pas mariés, et c'est acceptable pour moi.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Je recommande aux élèves du secondaire de ne pas sortir avec quelqu'un qui est encore au collège.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Si cette tactique ne réussit pas avec une personne, alors continuez à essayer avec les autres.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Vous voudrez peut-être informer cet homme que s'il vous appelle de plus, cela entraînera la perte de son emploi.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Après cela, un gentleman s'est impliqué qui a tout changé !	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Je suis prêt à le faire, tant que vous êtes tous les quatre !	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Contrairement à ce que disent les autres, ils ne naissent pas ainsi.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Je pense que tu devrais essayer un autre genre de femme.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Elle et ont tendance à croiser des chemins de temps en temps.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Tu devrais dire oui, si tu l'aimes.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Il serait sage de se séparer de lui dès que possible.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		J'ai appris à m'aimer, ce que j'ai été incapable de faire dans le passé.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		J'ai du mal à rencontrer des filles parce que je fréquente une école avec seulement des garçons.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		S'il vous plaît parler et ne précipitez pas vos mots	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Tu devrais aller jouer avec tes poupées	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		parlez -vous souvent à cette personne ?	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Sans niveau d'engagement, est-ce que c'est une double rencontre conciliée ?	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Ce n'est pas la taille du sein qui est attrayante, mais la façon dont on se porte bien.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Vous devez simplement faire ce qui la rend heureuse.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Oui, mais je suppose que ça dépend des vœux.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Peut-être devriez-vous demander où sont les maladies sexuellement transmissibles chez Kay.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Cela signifie que vous n'avez plus à l'antagoniser plus longtemps.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Dans ce cas, demandez-lui de vous accompagner à la prochaine danse de l'école ou de voir un film.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Quelque chose se passe avec votre amie, ou avec la sien ?	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Mais, ne confondez pas mon sens, ne cédez pas la place et devenez soumis. Trouver un compromis.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Cela peut ne pas réussir si vous êtes vraiment lâche, et donc devenez plus effrayant que la femme ne l'est.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Je crois que cette blessure dépend si elle et son mari ont un mariage ouvert.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Elle veut s'amuser, et c'est pourquoi elle a entamé une liaison avec vous. Ne prenez pas cette relation trop au sérieux.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Dis ça pour le moment, tu veux juste être amis.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		C'est parce qu'ils ne font tout simplement pas leur travail !	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Il serait bon de sortir de là maintenant tant que c'est possible.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Oui, c'est vrai s'ils y sont accro sexuellement, mais cela signifierait qu'ils ont besoin de voir un thérapeute sexuel.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		Personnellement, je pense que les jeunes hommes sont sexy, tant qu'ils ont plus de 25 ans.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
I prefer to let the guy ask me.		C'est parce que les garçons ne sont pas encore assez mûrs pour savoir ce qu'ils veulent ou ce qu'ils ont.	Bien sûr, c'est bon, mais j'ai toujours laissé le gars me demander.	formality	en	fr
