anchor_1	alternative_1	anchor_2	alternative_2	style_type	language_1	language_2
I prefer to let the guy ask me.		Sofro por abuso verbal da minha esposa.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	en	pt
I prefer to let the guy ask me.		Você terá mais amigos do que você quer.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	en	pt
I prefer to let the guy ask me.		É bom que você possa ver fotos de quem você está falando.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	en	pt
I prefer to let the guy ask me.		Preciso saber o que fazer.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	en	pt
I prefer to let the guy ask me.		Me ame, me ame. Oh, querido Deus me ame!	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	en	pt
I prefer to let the guy ask me.		Não seria uma palavra. Seria uma ópera cantora.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	en	pt
I prefer to let the guy ask me.		Gosto da minha vida com exceção dela gritando e usando palavras de juramento.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	en	pt
I prefer to let the guy ask me.		Eu sei como é.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	en	pt
I prefer to let the guy ask me.		Ele tem uma equipe esportiva favorita?	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	en	pt
I prefer to let the guy ask me.		Enquanto você estiver fora, ele fará isso de novo e de novo.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	en	pt
I prefer to let the guy ask me.		Eu sugiro dizer “Olha, isso não está funcionando mais para mim”.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	en	pt
I prefer to let the guy ask me.		Sem irmã, acho que não.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	en	pt
I prefer to let the guy ask me.		Então beije-a, irmão; isso funciona sempre.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	en	pt
I prefer to let the guy ask me.		As mulheres amadurecem mais rápido do que homens e alguns homens nunca amadurecem.	Claro, está tudo bem, mas eu sempre deixei o cara me perguntar.	formality	en	pt
